"cell_genes"	"cell_type"	"k"
"PRR7"	"Ciliated"	"Cluster 2"
"PHTF1"	"Ciliated"	"Cluster 2"
"APPL2"	"Ciliated"	"Cluster 2"
"CHST6"	"Ciliated"	"Cluster 2"
"IFT74"	"Ciliated"	"Cluster 2"
"UBB"	"Ciliated"	"Cluster 2"
"RNF130"	"Ciliated"	"Cluster 2"
"PPP1CB"	"Ciliated"	"Cluster 2"
"CAST"	"Ciliated"	"Cluster 2"
"PALMD"	"Ciliated"	"Cluster 2"
"IFI27"	"Ciliated"	"Cluster 2"
"RFX2"	"Ciliated"	"Cluster 2"
"ALDH1A1"	"Ciliated"	"Cluster 2"
"KIF3B"	"Ciliated"	"Cluster 2"
"YWHAE"	"Ciliated"	"Cluster 2"
"SLC27A2"	"Ciliated"	"Cluster 2"
"DNAJC10"	"Ciliated"	"Cluster 2"
"TP53TG1"	"Ciliated"	"Cluster 2"
"CYB5D1"	"Ciliated"	"Cluster 2"
"NDUFB1"	"Ciliated"	"Cluster 2"
"MSH3"	"Ciliated"	"Cluster 2"
"PPP4R3B"	"Ciliated"	"Cluster 2"
"MARCKS"	"Ciliated"	"Cluster 2"
"STYXL1"	"Ciliated"	"Cluster 2"
"STOM"	"Ciliated"	"Cluster 2"
"PPP1R14C"	"Ciliated"	"Cluster 2"
"B3GNT5"	"Ciliated"	"Cluster 2"
"TMBIM6"	"Ciliated"	"Cluster 2"
"WBSCR27"	"Ciliated"	"Cluster 2"
"CCDC80"	"Ciliated"	"Cluster 2"
"C21orf2"	"Ciliated"	"Cluster 2"
"DAPP1"	"Ciliated"	"Cluster 2"
"MTRNR2L8"	"Ciliated"	"Cluster 2"
"MIPEP"	"Ciliated"	"Cluster 2"
"HACD4"	"Ciliated"	"Cluster 2"
"DGKH"	"Ciliated"	"Cluster 2"
"SSBP3"	"Ciliated"	"Cluster 2"
"ABI2"	"Ciliated"	"Cluster 2"
"AKR1C3"	"Ciliated"	"Cluster 2"
"CROCC"	"Ciliated"	"Cluster 2"
"C11orf49"	"Ciliated"	"Cluster 2"
"FAM179B"	"Ciliated"	"Cluster 2"
"PLA2G16"	"Ciliated"	"Cluster 2"
"GABARAP"	"Ciliated"	"Cluster 2"
"SMAP2"	"Ciliated"	"Cluster 2"
"GLUL"	"Ciliated"	"Cluster 2"
"ZBED5-AS1"	"Ciliated"	"Cluster 2"
"PFDN5"	"Ciliated"	"Cluster 2"
"COLCA1"	"Ciliated"	"Cluster 2"
"PKIB"	"Ciliated"	"Cluster 2"
"TUFM"	"Ciliated"	"Cluster 2"
"AHSA1"	"Ciliated"	"Cluster 2"
"SMYD2"	"Ciliated"	"Cluster 2"
"NBEA"	"Ciliated"	"Cluster 2"
"MUC4"	"Ciliated"	"Cluster 2"
"TMEM14B"	"Ciliated"	"Cluster 2"
"GCLM"	"Ciliated"	"Cluster 2"
"ZNF106"	"Ciliated"	"Cluster 2"
"MLLT4"	"Ciliated"	"Cluster 2"
"TRIM2"	"Ciliated"	"Cluster 2"
"CMIP"	"Ciliated"	"Cluster 2"
"CIR1"	"Ciliated"	"Cluster 2"
"UBL5"	"Ciliated"	"Cluster 2"
"GSN"	"Ciliated"	"Cluster 2"
"GSTP1"	"Ciliated"	"Cluster 2"
"SMIM19"	"Ciliated"	"Cluster 2"
"CASC4"	"Ciliated"	"Cluster 2"
"ZNF664"	"Ciliated"	"Cluster 2"
"CENPBD1P1"	"Ciliated"	"Cluster 2"
"PTPRF"	"Ciliated"	"Cluster 2"
"TMEM59"	"Ciliated"	"Cluster 2"
"LGALS3"	"Ciliated"	"Cluster 2"
"PLXNB2"	"Ciliated"	"Cluster 2"
"AGTRAP"	"Ciliated"	"Cluster 2"
"SF3B2"	"Ciliated"	"Cluster 2"
"IRF9"	"Ciliated"	"Cluster 2"
"TCEB2"	"Ciliated"	"Cluster 2"
"APOO"	"Ciliated"	"Cluster 2"
"NDUFAB1"	"Ciliated"	"Cluster 2"
"STRBP"	"Ciliated"	"Cluster 2"
"NAP1L1"	"Ciliated"	"Cluster 2"
"TMC4"	"Ciliated"	"Cluster 2"
"DNAJB6"	"Ciliated"	"Cluster 2"
"RBM47"	"Ciliated"	"Cluster 2"
"DNAL4"	"Ciliated"	"Cluster 2"
"ECI2"	"Ciliated"	"Cluster 2"
"WDR13"	"Ciliated"	"Cluster 2"
"SCAMP4"	"Ciliated"	"Cluster 2"
"RRM2B"	"Ciliated"	"Cluster 2"
"MSRB1"	"Ciliated"	"Cluster 2"
"TMEM123"	"Ciliated"	"Cluster 2"
"C11orf31"	"Ciliated"	"Cluster 2"
"MLXIP"	"Ciliated"	"Cluster 2"
"SCPEP1"	"Ciliated"	"Cluster 2"
"SURF2"	"Ciliated"	"Cluster 2"
"ITGB8"	"Ciliated"	"Cluster 2"
"SMIM6"	"Ciliated"	"Cluster 2"
"SLAIN2"	"Ciliated"	"Cluster 2"
"TM9SF1"	"Ciliated"	"Cluster 2"
"SCCPDH"	"Ciliated"	"Cluster 2"
"NDUFA1"	"Ciliated"	"Cluster 2"
"SERTAD4-AS1"	"Ciliated"	"Cluster 2"
"ARHGAP32"	"Ciliated"	"Cluster 2"
"ATP5I"	"Ciliated"	"Cluster 2"
"C5orf42"	"Ciliated"	"Cluster 2"
"ZKSCAN1"	"Ciliated"	"Cluster 2"
"MRPL40"	"Ciliated"	"Cluster 2"
"SYT8"	"Ciliated"	"Cluster 2"
"SPTBN1"	"Ciliated"	"Cluster 2"
"ABCA13"	"Ciliated"	"Cluster 2"
"UBE2H"	"Ciliated"	"Cluster 2"
"BAIAP2L1"	"Ciliated"	"Cluster 2"
"CHCHD5"	"Ciliated"	"Cluster 2"
"BBIP1"	"Ciliated"	"Cluster 2"
"CD46"	"Ciliated"	"Cluster 2"
"CD164"	"Ciliated"	"Cluster 2"
"IDS"	"Ciliated"	"Cluster 2"
"ARFGEF3"	"Ciliated"	"Cluster 2"
"YBX3"	"Ciliated"	"Cluster 2"
"YWHAH"	"Ciliated"	"Cluster 2"
"HDLBP"	"Ciliated"	"Cluster 2"
"HIPK3"	"Ciliated"	"Cluster 2"
"ALCAM"	"Ciliated"	"Cluster 2"
"HMGN2"	"Ciliated"	"Cluster 2"
"FAM120A"	"Ciliated"	"Cluster 2"
"PLXNB1"	"Ciliated"	"Cluster 2"
"HDGF"	"Ciliated"	"Cluster 2"
"CARS"	"Ciliated"	"Cluster 2"
"CTBP2"	"Ciliated"	"Cluster 2"
"RARRES3"	"Ciliated"	"Cluster 2"
"ERICH2"	"Ciliated"	"Cluster 2"
"HMGN5"	"Ciliated"	"Cluster 2"
"DDX17"	"Ciliated"	"Cluster 2"
"NDUFA3"	"Ciliated"	"Cluster 2"
"MRPL53"	"Ciliated"	"Cluster 2"
"CMTM6"	"Ciliated"	"Cluster 2"
"CELSR1"	"Ciliated"	"Cluster 2"
"PLEC"	"Ciliated"	"Cluster 2"
"PHIP"	"Ciliated"	"Cluster 2"
"NANS"	"Ciliated"	"Cluster 2"
"SIGIRR"	"Ciliated"	"Cluster 2"
"ATP6V1D"	"Ciliated"	"Cluster 2"
"PPP1R7"	"Ciliated"	"Cluster 2"
"ABHD2"	"Ciliated"	"Cluster 2"
"PLSCR1"	"Ciliated"	"Cluster 2"
"NUDT14"	"Ciliated"	"Cluster 2"
"BASP1"	"Ciliated"	"Cluster 2"
"MIDN"	"Ciliated"	"Cluster 2"
"GTF2H5"	"Ciliated"	"Cluster 2"
"SOX2"	"Ciliated"	"Cluster 2"
"MRPL41"	"Ciliated"	"Cluster 2"
"MEAF6"	"Ciliated"	"Cluster 2"
"RB1CC1"	"Ciliated"	"Cluster 2"
"HSPD1"	"Ciliated"	"Cluster 2"
"CLSTN1"	"Ciliated"	"Cluster 2"
"B3GNT7"	"Ciliated"	"Cluster 2"
"CDKN1A"	"Ciliated"	"Cluster 2"
"PSMB9"	"Ciliated"	"Cluster 2"
"MTRNR2L1"	"Ciliated"	"Cluster 2"
"ANXA4"	"Ciliated"	"Cluster 2"
"UGCG"	"Ciliated"	"Cluster 2"
"GPC3"	"Ciliated"	"Cluster 2"
"MTRNR2L2"	"Ciliated"	"Cluster 2"
"HIST1H1C"	"Ciliated"	"Cluster 2"
"PSCA"	"Ciliated"	"Cluster 2"
"RARRES1"	"Ciliated"	"Cluster 2"
"WFDC21P"	"Ciliated"	"Cluster 2"
"ISG15"	"Ciliated"	"Cluster 2"
"LINC00342"	"Ciliated"	"Cluster 2"
"SAA2"	"Ciliated"	"Cluster 2"
"SAA1"	"Ciliated"	"Cluster 2"
"LGALS1"	"Ciliated"	"Cluster 2"
"TUBB4B"	"Proximal.Ciliated"	"Cluster 3"
"DYNLT1"	"Proximal.Ciliated"	"Cluster 3"
"DYNLL1"	"Proximal.Ciliated"	"Cluster 3"
"UFC1"	"Proximal.Ciliated"	"Cluster 3"
"TUBA1A"	"Proximal.Ciliated"	"Cluster 3"
"MRPS31"	"Proximal.Ciliated"	"Cluster 3"
"BASP1"	"Proximal.Ciliated"	"Cluster 3"
"ATPIF1"	"Proximal.Ciliated"	"Cluster 3"
"MORN2"	"Proximal.Ciliated"	"Cluster 3"
"C1orf189"	"Proximal.Ciliated"	"Cluster 3"
"TCTEX1D4"	"Proximal.Ciliated"	"Cluster 3"
"HSBP1"	"Proximal.Ciliated"	"Cluster 3"
"HSPB11"	"Proximal.Ciliated"	"Cluster 3"
"HRASLS2"	"Proximal.Ciliated"	"Cluster 3"
"HSP90AA1"	"Proximal.Ciliated"	"Cluster 3"
"CRIP1"	"Proximal.Ciliated"	"Cluster 3"
"AKAP14"	"Proximal.Ciliated"	"Cluster 3"
"TCTEX1D2"	"Proximal.Ciliated"	"Cluster 3"
"SMIM22"	"Proximal.Ciliated"	"Cluster 3"
"CAPSL"	"Proximal.Ciliated"	"Cluster 3"
"WBSCR27"	"Proximal.Ciliated"	"Cluster 3"
"LINC01571"	"Proximal.Ciliated"	"Cluster 3"
"SPA17"	"Proximal.Ciliated"	"Cluster 3"
"ROPN1L"	"Proximal.Ciliated"	"Cluster 3"
"POLR2I"	"Proximal.Ciliated"	"Cluster 3"
"H2AFJ"	"Proximal.Ciliated"	"Cluster 3"
"CARS"	"Proximal.Ciliated"	"Cluster 3"
"C22orf15"	"Proximal.Ciliated"	"Cluster 3"
"FAM229B"	"Proximal.Ciliated"	"Cluster 3"
"C11orf70"	"Proximal.Ciliated"	"Cluster 3"
"CALM1"	"Proximal.Ciliated"	"Cluster 3"
"SNTN"	"Proximal.Ciliated"	"Cluster 3"
"CIB1"	"Proximal.Ciliated"	"Cluster 3"
"CCDC17"	"Proximal.Ciliated"	"Cluster 3"
"LRRC23"	"Proximal.Ciliated"	"Cluster 3"
"LDLRAD1"	"Proximal.Ciliated"	"Cluster 3"
"C20orf85"	"Proximal.Ciliated"	"Cluster 3"
"DPCD"	"Proximal.Ciliated"	"Cluster 3"
"FAM216B"	"Proximal.Ciliated"	"Cluster 3"
"DPY30"	"Proximal.Ciliated"	"Cluster 3"
"WDR54"	"Proximal.Ciliated"	"Cluster 3"
"PIFO"	"Proximal.Ciliated"	"Cluster 3"
"CFAP126"	"Proximal.Ciliated"	"Cluster 3"
"CD164L2"	"Proximal.Ciliated"	"Cluster 3"
"DYDC2"	"Proximal.Ciliated"	"Cluster 3"
"RUVBL2"	"Proximal.Ciliated"	"Cluster 3"
"ENDOG"	"Proximal.Ciliated"	"Cluster 3"
"KRT42P"	"Proximal.Ciliated"	"Cluster 3"
"RSPH1"	"Proximal.Ciliated"	"Cluster 3"
"MORN5"	"Proximal.Ciliated"	"Cluster 3"
"NME5"	"Proximal.Ciliated"	"Cluster 3"
"TP53AIP1"	"Proximal.Ciliated"	"Cluster 3"
"C9orf116"	"Proximal.Ciliated"	"Cluster 3"
"WDR66"	"Proximal.Ciliated"	"Cluster 3"
"LRRC46"	"Proximal.Ciliated"	"Cluster 3"
"ZMYND10"	"Proximal.Ciliated"	"Cluster 3"
"C9orf24"	"Proximal.Ciliated"	"Cluster 3"
"HAGHL"	"Proximal.Ciliated"	"Cluster 3"
"FAM92B"	"Proximal.Ciliated"	"Cluster 3"
"CCDC170"	"Proximal.Ciliated"	"Cluster 3"
"DNALI1"	"Proximal.Ciliated"	"Cluster 3"
"CES1"	"Proximal.Ciliated"	"Cluster 3"
"DHRS9"	"Proximal.Ciliated"	"Cluster 3"
"C1orf194"	"Proximal.Ciliated"	"Cluster 3"
"PRDX5"	"Proximal.Ciliated"	"Cluster 3"
"FAM183A"	"Proximal.Ciliated"	"Cluster 3"
"TBCA"	"Proximal.Ciliated"	"Cluster 3"
"FAM81B"	"Proximal.Ciliated"	"Cluster 3"
"CDHR3"	"Proximal.Ciliated"	"Cluster 3"
"C21orf58"	"Proximal.Ciliated"	"Cluster 3"
"MRLN"	"Proximal.Ciliated"	"Cluster 3"
"C9orf135"	"Proximal.Ciliated"	"Cluster 3"
"CD24"	"Proximal.Ciliated"	"Cluster 3"
"TNFAIP8L1"	"Proximal.Ciliated"	"Cluster 3"
"DYNLRB2"	"Proximal.Ciliated"	"Cluster 3"
"PIH1D3"	"Proximal.Ciliated"	"Cluster 3"
"RSPH9"	"Proximal.Ciliated"	"Cluster 3"
"TSPAN19"	"Proximal.Ciliated"	"Cluster 3"
"SAXO2"	"Proximal.Ciliated"	"Cluster 3"
"MNS1"	"Proximal.Ciliated"	"Cluster 3"
"LRRC10B"	"Proximal.Ciliated"	"Cluster 3"
"CFAP53"	"Proximal.Ciliated"	"Cluster 3"
"CETN2"	"Proximal.Ciliated"	"Cluster 3"
"KIF9"	"Proximal.Ciliated"	"Cluster 3"
"CALML4"	"Proximal.Ciliated"	"Cluster 3"
"DNAH12"	"Proximal.Ciliated"	"Cluster 3"
"C21orf59"	"Proximal.Ciliated"	"Cluster 3"
"HSPH1"	"Proximal.Ciliated"	"Cluster 3"
"CCDC78"	"Proximal.Ciliated"	"Cluster 3"
"C11orf88"	"Proximal.Ciliated"	"Cluster 3"
"TMEM231"	"Proximal.Ciliated"	"Cluster 3"
"TMEM190"	"Proximal.Ciliated"	"Cluster 3"
"RSPH4A"	"Proximal.Ciliated"	"Cluster 3"
"STOML3"	"Proximal.Ciliated"	"Cluster 3"
"C6orf165"	"Proximal.Ciliated"	"Cluster 3"
"DRC1"	"Proximal.Ciliated"	"Cluster 3"
"CCDC42B"	"Proximal.Ciliated"	"Cluster 3"
"ODF3B"	"Proximal.Ciliated"	"Cluster 3"
"FAM227A"	"Proximal.Ciliated"	"Cluster 3"
"EFHC1"	"Proximal.Ciliated"	"Cluster 3"
"EFCAB1"	"Proximal.Ciliated"	"Cluster 3"
"DNAAF3"	"Proximal.Ciliated"	"Cluster 3"
"WDR38"	"Proximal.Ciliated"	"Cluster 3"
"EFCAB10"	"Proximal.Ciliated"	"Cluster 3"
"CCDC113"	"Proximal.Ciliated"	"Cluster 3"
"EPPIN"	"Proximal.Ciliated"	"Cluster 3"
"NUCB2"	"Proximal.Ciliated"	"Cluster 3"
"C2orf40"	"Proximal.Ciliated"	"Cluster 3"
"NUDC"	"Proximal.Ciliated"	"Cluster 3"
"CCDC146"	"Proximal.Ciliated"	"Cluster 3"
"HSPBP1"	"Proximal.Ciliated"	"Cluster 3"
"FHAD1"	"Proximal.Ciliated"	"Cluster 3"
"CCDC153"	"Proximal.Ciliated"	"Cluster 3"
"CC2D2A"	"Proximal.Ciliated"	"Cluster 3"
"NQO1"	"Proximal.Ciliated"	"Cluster 3"
"CAPS"	"Proximal.Ciliated"	"Cluster 3"
"IQCG"	"Proximal.Ciliated"	"Cluster 3"
"SPAG6"	"Proximal.Ciliated"	"Cluster 3"
"DAW1"	"Proximal.Ciliated"	"Cluster 3"
"C5orf49"	"Proximal.Ciliated"	"Cluster 3"
"LOC102724094"	"Proximal.Ciliated"	"Cluster 3"
"CFAP45"	"Proximal.Ciliated"	"Cluster 3"
"IK"	"Proximal.Ciliated"	"Cluster 3"
"LRP11"	"Proximal.Ciliated"	"Cluster 3"
"TEKT2"	"Proximal.Ciliated"	"Cluster 3"
"TEKT1"	"Proximal.Ciliated"	"Cluster 3"
"RUVBL1"	"Proximal.Ciliated"	"Cluster 3"
"SPATA18"	"Proximal.Ciliated"	"Cluster 3"
"CFAP43"	"Proximal.Ciliated"	"Cluster 3"
"ERICH3"	"Proximal.Ciliated"	"Cluster 3"
"ARHGAP18"	"Proximal.Ciliated"	"Cluster 3"
"CFAP52"	"Proximal.Ciliated"	"Cluster 3"
"DNAJA4"	"Proximal.Ciliated"	"Cluster 3"
"ARMC3"	"Proximal.Ciliated"	"Cluster 3"
"KCNRG"	"Proximal.Ciliated"	"Cluster 3"
"EFHB"	"Proximal.Ciliated"	"Cluster 3"
"ALG1L"	"Proximal.Ciliated"	"Cluster 3"
"DNAH7"	"Proximal.Ciliated"	"Cluster 3"
"CCDC37"	"Proximal.Ciliated"	"Cluster 3"
"TUBA4B"	"Proximal.Ciliated"	"Cluster 3"
"OR7E47P"	"Proximal.Ciliated"	"Cluster 3"
"LRRIQ1"	"Proximal.Ciliated"	"Cluster 3"
"IFT22"	"Proximal.Ciliated"	"Cluster 3"
"DNAAF1"	"Proximal.Ciliated"	"Cluster 3"
"DNAL1"	"Proximal.Ciliated"	"Cluster 3"
"TSPAN1"	"Proximal.Ciliated"	"Cluster 3"
"SPAG8"	"Proximal.Ciliated"	"Cluster 3"
"DNPH1"	"Proximal.Ciliated"	"Cluster 3"
"ANKRD66"	"Proximal.Ciliated"	"Cluster 3"
"IFT43"	"Proximal.Ciliated"	"Cluster 3"
"HN1L"	"Proximal.Ciliated"	"Cluster 3"
"C6orf118"	"Proximal.Ciliated"	"Cluster 3"
"MGMT"	"Proximal.Ciliated"	"Cluster 3"
"DCDC2B"	"Proximal.Ciliated"	"Cluster 3"
"KLHL6"	"Proximal.Ciliated"	"Cluster 3"
"CCDC74A"	"Proximal.Ciliated"	"Cluster 3"
"CRNDE"	"Proximal.Ciliated"	"Cluster 3"
"RPA3"	"Proximal.Ciliated"	"Cluster 3"
"COQ4"	"Proximal.Ciliated"	"Cluster 3"
"ARMC4"	"Proximal.Ciliated"	"Cluster 3"
"FAM166B"	"Proximal.Ciliated"	"Cluster 3"
"CTXN1"	"Proximal.Ciliated"	"Cluster 3"
"CCDC108"	"Proximal.Ciliated"	"Cluster 3"
"RIIAD1"	"Proximal.Ciliated"	"Cluster 3"
"CLUAP1"	"Proximal.Ciliated"	"Cluster 3"
"RAB36"	"Proximal.Ciliated"	"Cluster 3"
"LRRC6"	"Proximal.Ciliated"	"Cluster 3"
"JOSD2"	"Proximal.Ciliated"	"Cluster 3"
"TEKT4"	"Proximal.Ciliated"	"Cluster 3"
"DNAI2"	"Proximal.Ciliated"	"Cluster 3"
"C14orf142"	"Proximal.Ciliated"	"Cluster 3"
"C11orf97"	"Proximal.Ciliated"	"Cluster 3"
"MINOS1"	"Proximal.Ciliated"	"Cluster 3"
"B9D1"	"Proximal.Ciliated"	"Cluster 3"
"LRRC48"	"Proximal.Ciliated"	"Cluster 3"
"TCTEX1D1"	"Proximal.Ciliated"	"Cluster 3"
"MAP3K19"	"Proximal.Ciliated"	"Cluster 3"
"RFX3"	"Proximal.Ciliated"	"Cluster 3"
"UBXN11"	"Proximal.Ciliated"	"Cluster 3"
"CCDC65"	"Proximal.Ciliated"	"Cluster 3"
"RAMP1"	"Proximal.Ciliated"	"Cluster 3"
"LOC100506844"	"Proximal.Ciliated"	"Cluster 3"
"CDS1"	"Proximal.Ciliated"	"Cluster 3"
"ENKUR"	"Proximal.Ciliated"	"Cluster 3"
"PPP1R42"	"Proximal.Ciliated"	"Cluster 3"
"ARL3"	"Proximal.Ciliated"	"Cluster 3"
"PSENEN"	"Proximal.Ciliated"	"Cluster 3"
"IQUB"	"Proximal.Ciliated"	"Cluster 3"
"RSPH14"	"Proximal.Ciliated"	"Cluster 3"
"CASC1"	"Proximal.Ciliated"	"Cluster 3"
"ZDHHC1"	"Proximal.Ciliated"	"Cluster 3"
"DZIP3"	"Proximal.Ciliated"	"Cluster 3"
"CFAP44"	"Proximal.Ciliated"	"Cluster 3"
"DNAI1"	"Proximal.Ciliated"	"Cluster 3"
"PRR29"	"Proximal.Ciliated"	"Cluster 3"
"NWD1"	"Proximal.Ciliated"	"Cluster 3"
"GADD45GIP1"	"Proximal.Ciliated"	"Cluster 3"
"CCDC176"	"Proximal.Ciliated"	"Cluster 3"
"ZBBX"	"Proximal.Ciliated"	"Cluster 3"
"SOD1"	"Proximal.Ciliated"	"Cluster 3"
"FANK1"	"Proximal.Ciliated"	"Cluster 3"
"SPAG17"	"Proximal.Ciliated"	"Cluster 3"
"ACYP1"	"Proximal.Ciliated"	"Cluster 3"
"UCP2"	"Proximal.Ciliated"	"Cluster 3"
"MAP1A"	"Proximal.Ciliated"	"Cluster 3"
"IQCD"	"Proximal.Ciliated"	"Cluster 3"
"NPHP1"	"Proximal.Ciliated"	"Cluster 3"
"TTC25"	"Proximal.Ciliated"	"Cluster 3"
"CATSPERD"	"Proximal.Ciliated"	"Cluster 3"
"C11orf74"	"Proximal.Ciliated"	"Cluster 3"
"AK7"	"Proximal.Ciliated"	"Cluster 3"
"PROM1"	"Proximal.Ciliated"	"Cluster 3"
"SPEF1"	"Proximal.Ciliated"	"Cluster 3"
"WDR78"	"Proximal.Ciliated"	"Cluster 3"
"LOC101927416"	"Proximal.Ciliated"	"Cluster 3"
"NDUFB1"	"Proximal.Ciliated"	"Cluster 3"
"LGALS3"	"Proximal.Ciliated"	"Cluster 3"
"COPRS"	"Proximal.Ciliated"	"Cluster 3"
"ALOX15"	"Proximal.Ciliated"	"Cluster 3"
"C12orf75"	"Proximal.Ciliated"	"Cluster 3"
"CCDC39"	"Proximal.Ciliated"	"Cluster 3"
"RIBC1"	"Proximal.Ciliated"	"Cluster 3"
"GPR162"	"Proximal.Ciliated"	"Cluster 3"
"HIST1H2BD"	"Proximal.Ciliated"	"Cluster 3"
"LRRC34"	"Proximal.Ciliated"	"Cluster 3"
"BEST4"	"Proximal.Ciliated"	"Cluster 3"
"C11orf16"	"Proximal.Ciliated"	"Cluster 3"
"CH17-340M24.3"	"Proximal.Ciliated"	"Cluster 3"
"LRTOMT"	"Proximal.Ciliated"	"Cluster 3"
"FOXJ1"	"Proximal.Ciliated"	"Cluster 3"
"DNAH9"	"Proximal.Ciliated"	"Cluster 3"
"CCDC34"	"Proximal.Ciliated"	"Cluster 3"
"STMND1"	"Proximal.Ciliated"	"Cluster 3"
"SPATS1"	"Proximal.Ciliated"	"Cluster 3"
"SPEF2"	"Proximal.Ciliated"	"Cluster 3"
"WDR63"	"Proximal.Ciliated"	"Cluster 3"
"WDR34"	"Proximal.Ciliated"	"Cluster 3"
"MAPK15"	"Proximal.Ciliated"	"Cluster 3"
"CENPM"	"Proximal.Ciliated"	"Cluster 3"
"ZKSCAN1"	"Proximal.Ciliated"	"Cluster 3"
"PLAC8"	"Proximal.Ciliated"	"Cluster 3"
"PSCA"	"Proximal.Ciliated"	"Cluster 3"
"LRRC74B"	"Proximal.Ciliated"	"Cluster 3"
"MS4A8"	"Proximal.Ciliated"	"Cluster 3"
"VWA3B"	"Proximal.Ciliated"	"Cluster 3"
"PPIL6"	"Proximal.Ciliated"	"Cluster 3"
"DNAJB13"	"Proximal.Ciliated"	"Cluster 3"
"FBXO15"	"Proximal.Ciliated"	"Cluster 3"
"VPS35"	"Proximal.Ciliated"	"Cluster 3"
"SSB"	"Proximal.Ciliated"	"Cluster 3"
"TCEB2"	"Proximal.Ciliated"	"Cluster 3"
"NDUFAB1"	"Proximal.Ciliated"	"Cluster 3"
"AK9"	"Proximal.Ciliated"	"Cluster 3"
"AZIN1"	"Proximal.Ciliated"	"Cluster 3"
"DYNC2H1"	"Proximal.Ciliated"	"Cluster 3"
"B9D2"	"Proximal.Ciliated"	"Cluster 3"
"STK33"	"Proximal.Ciliated"	"Cluster 3"
"SPATA4"	"Proximal.Ciliated"	"Cluster 3"
"IFT27"	"Proximal.Ciliated"	"Cluster 3"
"TTLL10"	"Proximal.Ciliated"	"Cluster 3"
"FDXR"	"Proximal.Ciliated"	"Cluster 3"
"IFT172"	"Proximal.Ciliated"	"Cluster 3"
"MB"	"Proximal.Ciliated"	"Cluster 3"
"CFDP1"	"Proximal.Ciliated"	"Cluster 3"
"DNAH6"	"Proximal.Ciliated"	"Cluster 3"
"OSCP1"	"Proximal.Ciliated"	"Cluster 3"
"CCDC89"	"Proximal.Ciliated"	"Cluster 3"
"C15orf26"	"Proximal.Ciliated"	"Cluster 3"
"TTC26"	"Proximal.Ciliated"	"Cluster 3"
"MDH1B"	"Proximal.Ciliated"	"Cluster 3"
"C16orf93"	"Proximal.Ciliated"	"Cluster 3"
"WDR86-AS1"	"Proximal.Ciliated"	"Cluster 3"
"UBAC1"	"Proximal.Ciliated"	"Cluster 3"
"TPPP3"	"Proximal.Ciliated"	"Cluster 3"
"CLMN"	"Proximal.Ciliated"	"Cluster 3"
"WFDC6"	"Proximal.Ciliated"	"Cluster 3"
"RABL2B"	"Proximal.Ciliated"	"Cluster 3"
"C10orf107"	"Proximal.Ciliated"	"Cluster 3"
"STOX1"	"Proximal.Ciliated"	"Cluster 3"
"UCKL1-AS1"	"Proximal.Ciliated"	"Cluster 3"
"CCDC114"	"Proximal.Ciliated"	"Cluster 3"
"MAP6"	"Proximal.Ciliated"	"Cluster 3"
"MUC12"	"Proximal.Ciliated"	"Cluster 3"
"AK8"	"Proximal.Ciliated"	"Cluster 3"
"MRPL41"	"Proximal.Ciliated"	"Cluster 3"
"CCDC96"	"Proximal.Ciliated"	"Cluster 3"
"CCDC173"	"Proximal.Ciliated"	"Cluster 3"
"DNAH5"	"Proximal.Ciliated"	"Cluster 3"
"UBXN10"	"Proximal.Ciliated"	"Cluster 3"
"EFHC2"	"Proximal.Ciliated"	"Cluster 3"
"TRIP13"	"Proximal.Ciliated"	"Cluster 3"
"FAM47E"	"Proximal.Ciliated"	"Cluster 3"
"HS3ST6"	"Proximal.Ciliated"	"Cluster 3"
"SLAIN2"	"Proximal.Ciliated"	"Cluster 3"
"MLF1"	"Proximal.Ciliated"	"Cluster 3"
"CEP126"	"Proximal.Ciliated"	"Cluster 3"
"GAS2L2"	"Proximal.Ciliated"	"Cluster 3"
"LKAAEAR1"	"Proximal.Ciliated"	"Cluster 3"
"CFAP221"	"Proximal.Ciliated"	"Cluster 3"
"SERF2"	"Proximal.Ciliated"	"Cluster 3"
"PRR7"	"Proximal.Ciliated"	"Cluster 3"
"SLC22A4"	"Proximal.Ciliated"	"Cluster 3"
"HCG14"	"Proximal.Ciliated"	"Cluster 3"
"C20orf96"	"Proximal.Ciliated"	"Cluster 3"
"LOC100506990"	"Proximal.Ciliated"	"Cluster 3"
"FUZ"	"Proximal.Ciliated"	"Cluster 3"
"CCDC74B"	"Proximal.Ciliated"	"Cluster 3"
"TSPAN6"	"Proximal.Ciliated"	"Cluster 3"
"AGBL2"	"Proximal.Ciliated"	"Cluster 3"
"PIH1D2"	"Proximal.Ciliated"	"Cluster 3"
"ALDH1L1"	"Proximal.Ciliated"	"Cluster 3"
"APOBEC4"	"Proximal.Ciliated"	"Cluster 3"
"SRI"	"Proximal.Ciliated"	"Cluster 3"
"SPAG16"	"Proximal.Ciliated"	"Cluster 3"
"KLHDC9"	"Proximal.Ciliated"	"Cluster 3"
"IGFBP2"	"Proximal.Ciliated"	"Cluster 3"
"RABL2A"	"Proximal.Ciliated"	"Cluster 3"
"C7orf57"	"Proximal.Ciliated"	"Cluster 3"
"SMYD2"	"Proximal.Ciliated"	"Cluster 3"
"LOC728392"	"Proximal.Ciliated"	"Cluster 3"
"FAM179A"	"Proximal.Ciliated"	"Cluster 3"
