set01	set02	set03	set04	set05	set06	set07	set08	set09	set10	set11	set12	set13	set14	set15	set16	SetsWithPeps	MaxPeps	MinPeps
CISD3	5	4	4	2	1	2	3	4	4	5	4	5	5	4	3	4	16	5	1
CISH	NA	NA	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	1
CIT	60	63	50	59	39	65	58	60	56	57	57	58	58	57	75	49	16	75	39
CIZ1	15	14	16	17	15	18	15	14	17	15	13	13	13	12	14	16	16	18	12
CKAP2	13	7	13	10	6	14	8	9	6	15	10	10	9	12	14	12	16	15	6
CKAP2L	8	6	4	6	3	5	5	6	3	7	5	7	4	6	7	2	16	8	2
CKAP4	48	53	61	62	55	56	53	57	54	54	52	57	57	61	58	58	16	62	48
CKAP5	102	99	117	122	98	106	111	108	99	117	109	96	97	101	115	111	16	122	96
CKB	29	27	32	27	28	32	28	32	29	35	28	24	28	34	33	28	16	35	24
CKLF	1	1	NA	1	1	1	1	NA	NA	NA	1	NA	NA	NA	1	1	9	1	1
CKM	5	8	4	8	9	6	3	13	15	7	6	9	6	5	4	10	16	15	3
CKMT2	3	6	7	6	7	6	7	6	7	7	7	6	5	7	6	10	16	10	3
CKS1B	2	3	3	3	1	2	2	2	1	3	5	1	2	3	4	1	16	5	1
CKS2	4	3	4	4	3	1	3	1	1	2	1	1	2	1	3	3	16	4	1
CLASP1	59	56	61	55	53	56	55	61	55	66	56	49	48	56	62	58	16	66	48
CLASP2	56	51	58	55	54	58	60	56	61	57	58	51	57	56	53	58	16	61	51
CLASRP	3	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	4	3	0
CLC	7	7	8	7	7	9	7	8	9	7	7	7	8	6	7	9	16	9	6
CLCA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	1	2	10	1
CLCA2	16	9	4	20	14	17	4	18	12	7	7	12	14	6	16	17	16	20	4
CLCA4	1	1	NA	16	NA	1	1	2	4	NA	13	3	5	4	2	18	13	18	1
CLCC1	27	26	31	33	29	33	31	29	32	30	28	27	26	27	28	31	16	33	26
CLCF1	NA	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	1
CLCN2	2	3	3	2	3	4	3	2	3	3	4	2	3	2	2	2	16	4	2
CLCN3	9	6	4	9	8	7	7	10	8	11	9	8	13	10	10	8	16	13	4
CLCN4	0	0	1	2	0	0	0	1	0	1	0	0	0	1	0	0	5	2	0
CLCN5	7	5	6	6	6	8	7	8	7	7	8	8	7	6	7	6	16	8	5
CLCN6	5	7	5	7	8	6	5	5	3	4	7	4	7	4	5	3	16	8	3
CLCN7	14	12	16	14	14	15	13	13	14	11	15	13	14	13	14	14	16	16	11
CLDN1	6	4	7	8	4	6	6	6	6	4	6	5	7	4	8	6	16	8	4
CLDN10	1	2	3	2	2	2	2	2	1	2	2	1	2	1	2	1	16	3	1
CLDN12	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	16	2	1
CLDN18	6	6	5	6	6	4	4	5	3	4	6	4	3	4	4	4	16	6	3
CLDN2	NA	NA	1	NA	NA	NA	3	NA	3	NA	1	3	NA	NA	NA	1	6	3	1
CLDN23	1	2	1	1	1	2	1	1	1	1	NA	1	NA	1	1	1	14	2	1
CLDN3	2	3	5	6	3	3	3	3	4	3	3	3	3	3	4	3	16	6	2
CLDN4	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	16	2	1
CLDN5	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	2	16	3	2
CLDN6	0	0	0	0	2	2	4	0	0	1	0	1	2	3	3	1	9	4	0
CLDN7	1	1	1	1	1	1	1	1	1	2	1	NA	1	1	1	1	15	2	1
CLDN8	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	1	NA	NA	2	6	2	1
CLDN9	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
CLDND1	2	4	5	3	3	4	4	5	3	4	4	5	3	4	3	4	16	5	2
CLEC10A	3	3	1	3	3	3	3	3	2	3	5	3	3	3	1	3	16	5	1
CLEC11A	9	13	11	11	11	12	12	11	12	12	14	12	12	12	11	13	16	14	9
CLEC12A	2	2	2	3	2	1	1	3	2	1	3	2	1	1	2	1	16	3	1
CLEC14A	7	9	7	8	9	10	9	11	12	12	10	8	7	6	9	13	16	13	6
CLEC16A	19	17	19	23	20	23	21	19	24	22	21	19	20	18	18	20	16	24	17
CLEC2A	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	3	1	1
CLEC2B	2	3	1	2	1	1	2	3	3	2	5	1	3	3	3	3	16	5	1
CLEC3A	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2	1	1
CLEC3B	9	9	10	10	11	10	10	10	9	10	9	10	9	10	10	10	16	11	9
CLEC4A	NA	NA	2	2	NA	1	NA	2	2	2	2	2	1	2	1	1	12	2	1
CLEC4C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1
CLEC4D	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
CLEC4G	NA	NA	NA	1	NA	1	1	2	NA	NA	1	1	NA	NA	1	1	8	2	1
CLEC4M	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0
CLEC5A	3	4	5	5	2	3	3	3	3	3	2	3	3	3	3	4	16	5	2
CLEC7A	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	15	1	1
CLGN	20	30	21	20	19	28	18	20	13	25	17	14	17	27	25	13	16	30	13
CLIC1	16	15	16	18	16	16	14	15	14	16	13	15	15	15	15	14	16	18	13
CLIC2	17	16	16	18	17	15	16	17	17	15	17	16	17	17	18	18	16	18	15
CLIC3	13	12	15	17	14	11	14	14	13	15	12	14	15	15	13	15	16	17	11
CLIC4	21	22	24	22	21	18	18	20	19	21	18	18	21	21	20	21	16	24	18
CLIC5	10	9	7	9	10	10	9	11	11	10	9	10	8	7	9	10	16	11	7
CLIC6	37	40	40	37	39	43	44	41	41	38	37	38	39	39	42	34	16	44	34
CLINT1	35	39	37	43	38	38	36	35	31	41	39	35	37	36	36	32	16	43	31
CLIP1	91	92	82	83	79	80	78	76	81	74	83	76	77	85	78	85	16	92	74
CLIP2	42	33	34	38	40	36	37	42	37	42	34	38	36	39	41	43	16	43	33
CLIP4	1	3	2	4	3	4	1	4	3	3	5	5	4	4	5	4	16	5	1
CLK1	7	8	6	6	7	7	7	6	6	6	5	6	6	7	7	4	16	8	4
CLK2	3	2	3	2	3	1	1	1	1	2	2	3	2	2	1	2	16	3	1
CLK3	8	8	9	8	7	5	9	6	7	6	8	5	7	6	7	7	16	9	5
CLK4	3	5	5	6	3	5	6	4	4	5	6	4	8	4	6	6	16	8	3
CLMN	34	30	36	30	36	32	27	31	31	40	35	30	25	30	30	33	16	40	25
CLMP	3	6	NA	3	1	3	2	2	2	1	1	2	3	3	1	4	15	6	1
CLN5	4	3	3	3	4	4	3	3	3	4	5	5	5	4	5	5	16	5	3
CLN6	NA	1	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	4	1	1
CLN8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16	1	1
CLNK	0	1	0	1	1	NA	NA	0	1	NA	1	NA	0	1	1	0	7	1	0
CLNS1A	10	6	9	7	5	4	8	10	7	8	7	6	7	6	5	9	16	10	4
CLOCK	5	6	4	6	6	6	7	5	5	6	5	6	5	7	6	4	16	7	4
CLP1	5	8	4	9	7	7	7	8	8	8	7	8	5	6	9	9	16	9	4
CLPB	33	36	35	36	32	32	31	29	33	34	35	30	33	34	37	35	16	37	29
CLPP	19	19	18	19	18	19	16	21	16	18	19	16	19	18	19	18	16	21	16
CLPTM1	19	19	21	23	20	17	19	18	19	21	19	16	14	19	19	17	16	23	14
CLPTM1L	22	21	24	23	21	18	20	20	24	24	22	21	24	21	26	24	16	26	18
CLPX	29	29	30	31	28	29	28	29	28	27	31	27	26	27	27	25	16	31	25
CLRN3	1	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	3	1	1
CLSPN	6	4	9	6	2	4	2	7	2	7	5	2	2	6	10	3	16	10	2
CLSTN1	18	14	15	17	11	16	14	16	18	18	15	17	19	20	19	20	16	20	11
CLSTN2	NA	NA	6	NA	1	2	NA	2	NA	2	NA	NA	3	14	4	NA	8	14	1
CLSTN3	5	7	7	2	7	8	5	6	6	7	7	7	10	8	6	4	16	10	2
CLTA	12	10	11	11	11	10	10	8	10	9	10	10	9	11	10	10	16	12	8
CLTB	10	9	12	11	8	10	9	10	8	8	10	11	9	10	9	8	16	12	8
CLTC	107	114	132	142	117	117	113	112	118	127	115	111	114	121	116	115	16	142	107
CLTCL1	4	2	3	3	3	7	3	7	6	5	3	5	5	3	7	4	16	7	2
CLTRN	NA	1	2	1	NA	4	1	1	NA	NA	1	1	NA	1	1	1	11	4	1
CLU	23	24	27	28	26	24	25	26	25	23	24	24	28	24	23	28	16	28	23
CLUAP1	8	7	6	6	8	9	9	6	5	6	8	5	6	5	5	8	16	9	5
CLUH	60	58	58	63	50	56	52	60	56	63	60	50	60	60	62	56	16	63	50
CLUL1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	1	1	NA	1	5	1	1
CLVS1	NA	NA	0	NA	0	NA	NA	NA	NA	0	NA	NA	NA	1	NA	NA	1	1	0
CLVS2	NA	NA	0	NA	0	NA	NA	NA	NA	0	NA	NA	NA	1	NA	NA	1	1	0
CLYBL	17	22	21	19	17	21	19	18	20	21	19	19	18	16	19	18	16	22	16
CMA1	5	7	6	7	7	7	6	6	7	7	7	7	7	6	6	9	16	9	5
CMAS	23	25	27	26	24	26	27	24	25	31	21	22	28	26	29	30	16	31	21
CMBL	13	18	22	18	17	19	17	16	19	18	20	19	17	15	14	19	16	22	13
CMC1	3	2	3	2	5	2	2	3	3	2	2	3	5	5	3	2	16	5	2
CMC2	1	2	3	2	3	1	1	1	2	1	2	2	1	1	2	3	16	3	1
CMC4	1	1	1	1	2	1	1	1	1	2	3	1	NA	1	2	NA	14	3	1
CMIP	12	13	18	18	15	11	13	17	17	22	10	14	13	13	13	16	16	22	10
CMKLR1	1	1	1	1	1	NA	NA	1	1	1	NA	1	NA	1	1	1	12	1	1
CMPK1	22	21	26	26	21	22	23	21	23	23	22	22	21	24	23	24	16	26	21
CMPK2	22	22	18	19	20	20	21	20	22	21	21	23	24	21	21	21	16	24	18
CMSS1	10	10	7	9	9	9	7	9	7	9	9	8	9	9	10	11	16	11	7
CMTM3	2	2	1	1	2	2	1	2	2	2	1	2	2	3	1	3	16	3	1
CMTM4	6	6	6	7	6	6	5	7	5	5	5	5	5	5	5	5	16	7	5
CMTM5	1	NA	NA	1	NA	1	NA	1	1	1	NA	NA	1	NA	NA	1	8	1	1
CMTM6	NA	NA	2	NA	NA	NA	1	NA	1	NA	NA	NA	NA	1	NA	2	5	2	1
CMTM7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16	1	1
CMTM8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16	1	1
CMTR1	44	48	46	44	39	45	45	46	47	52	46	41	39	42	44	46	16	52	39
CMTR2	9	8	9	8	6	9	5	9	11	12	9	13	11	8	11	14	16	14	5
CNBP	13	15	20	21	11	14	13	12	13	16	13	15	15	15	12	13	16	21	11
CNDP1	12	12	13	11	10	12	9	13	11	11	10	10	11	8	13	12	16	13	8
CNDP2	41	47	47	48	45	44	45	46	43	50	47	50	47	46	48	48	16	50	41
CNEP1R1	2	3	2	2	1	2	2	2	2	2	1	2	2	2	2	2	16	3	1
CNFN	1	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	3	1	1
CNGA1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	16	2	1
CNGB3	1	NA	1	NA	NA	1	NA	1	NA	NA	NA	NA	1	NA	NA	1	6	1	1
CNIH1	NA	1	2	1	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	4	7	4	1
CNIH3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	1
CNIH4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	16	5	4
CNKSR1	10	10	7	8	11	9	11	10	9	9	9	7	9	7	9	8	16	11	7
CNKSR2	1	1	1	1	2	1	3	2	0	1	1	0	0	3	4	0	12	4	0
CNKSR3	9	7	11	10	7	8	8	9	7	12	10	10	10	9	9	6	16	12	6
CNMD	1	NA	1	NA	NA	2	NA	NA	NA	NA	NA	1	4	1	NA	NA	6	4	1
CNN1	25	22	26	25	26	25	26	26	27	28	26	26	25	26	25	32	16	32	22
CNN2	21	23	25	27	23	22	23	25	22	24	24	24	25	25	22	21	16	27	21
CNN3	26	24	23	26	25	25	24	25	25	23	23	24	23	22	26	25	16	26	22
CNNM2	6	8	5	8	7	11	5	6	5	6	8	6	5	9	11	8	16	11	5
CNNM3	17	19	19	17	18	16	20	19	17	22	19	19	18	19	17	20	16	22	16
CNNM4	16	19	21	22	22	19	23	17	18	20	22	21	22	15	19	20	16	23	15
CNOT1	86	93	90	90	83	86	86	83	85	90	94	89	91	93	93	96	16	96	83
CNOT10	21	19	22	27	23	23	23	20	21	21	25	22	22	24	21	25	16	27	19
CNOT11	9	9	13	9	9	8	8	9	9	9	8	9	9	10	9	10	16	13	8
CNOT2	20	14	15	12	16	13	15	14	14	13	14	14	16	11	18	16	16	20	11
CNOT3	16	19	24	22	24	23	22	21	22	24	26	22	23	18	17	22	16	26	16
CNOT4	15	15	16	14	17	15	19	16	17	15	16	21	14	13	17	18	16	21	13
CNOT6	5	5	7	5	2	4	4	7	6	9	6	6	4	6	6	5	16	9	2
CNOT6L	14	13	11	14	16	14	14	15	14	12	10	13	14	12	14	15	16	16	10
CNOT7	16	17	16	17	16	16	17	16	17	17	15	19	16	18	20	16	16	20	15
CNOT8	6	5	8	8	7	7	8	8	4	9	5	5	10	7	8	9	16	10	4
CNOT9	11	10	12	11	8	11	9	10	7	9	11	9	8	11	11	10	16	12	7
CNP	30	28	32	27	29	29	28	24	26	34	30	27	30	32	30	29	16	34	24
CNPY2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	16	2	2
CNPY3	12	11	12	12	10	10	12	10	12	11	11	11	10	12	11	12	16	12	10
CNPY4	10	8	9	9	8	9	9	9	9	8	7	8	8	9	8	9	16	10	7
CNR2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
CNRIP1	8	9	9	9	10	8	11	11	8	10	12	8	10	10	10	11	16	12	8
CNST	18	17	17	19	17	19	20	16	17	20	19	15	13	20	16	14	16	20	13
CNTFR	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	1	NA	4	1	1
CNTLN	7	4	2	12	4	10	7	8	5	6	9	6	7	7	14	2	16	14	2
CNTN1	24	27	12	24	20	27	9	17	19	10	16	19	19	22	13	12	16	27	9
CNTN2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	2	11	1
CNTN3	NA	1	3	NA	NA	3	NA	1	2	1	NA	2	1	1	NA	NA	9	3	1
CNTN4	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	3	1	1
CNTN6	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	2
CNTNAP1	16	13	11	10	14	14	10	16	10	10	6	18	14	12	12	11	16	18	6
CNTNAP2	0	1	0	0	NA	NA	1	0	NA	1	NA	0	0	NA	0	0	3	1	0
CNTNAP4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16	1	1
CNTNAP5	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1
CNTRL	39	39	36	42	33	41	36	26	45	28	42	39	27	35	30	37	16	45	26
CNTROB	14	13	11	13	9	13	12	16	11	11	9	12	10	16	12	14	16	16	9
COA1	6	4	4	5	7	5	5	6	4	5	5	6	5	4	5	7	16	7	4
COA3	4	4	3	2	2	2	2	1	1	2	2	2	3	2	3	3	16	4	1
COA4	1	1	2	2	1	NA	1	1	1	1	1	1	1	1	1	1	15	2	1
COA5	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	2	3	2	1
COA6	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	16	2	1
COA7	12	10	14	11	12	10	11	10	11	12	12	10	9	10	11	13	16	14	9
COASY	15	16	20	19	18	17	17	17	16	16	17	17	16	17	19	19	16	20	15
COBL	12	12	15	16	14	8	12	18	8	13	8	10	9	12	23	12	16	23	8
COBLL1	53	56	49	53	55	54	59	54	51	49	57	50	70	47	50	58	16	70	47
COCH	5	8	11	5	11	6	10	4	13	9	3	4	5	6	13	8	16	13	3
COG1	33	39	39	39	34	39	41	41	40	38	35	40	40	39	38	37	16	41	33
COG2	40	47	40	37	37	34	40	41	43	39	41	41	40	41	37	37	16	47	34
COG3	40	42	48	50	41	49	46	41	47	47	46	44	42	44	44	48	16	50	40
COG4	52	54	50	49	47	48	53	50	50	53	54	49	48	52	48	50	16	54	47
COG5	33	33	33	36	32	33	29	36	36	31	32	35	35	30	31	38	16	38	29
COG6	26	32	25	31	26	25	29	27	31	30	24	27	29	27	28	28	16	32	24
COG7	35	48	43	42	41	41	40	37	42	43	39	39	41	42	39	41	16	48	35
COIL	11	12	13	14	14	11	11	11	13	12	13	11	11	12	11	12	16	14	11
COL10A1	3	5	6	3	5	5	5	8	4	5	4	5	7	5	5	3	16	8	3
COL11A1	27	10	24	17	25	26	13	21	23	20	14	20	23	17	17	19	16	27	10
COL12A1	160	144	154	147	161	166	147	155	159	158	144	150	150	160	151	168	16	168	144
COL14A1	84	90	86	97	92	92	90	100	99	91	92	93	87	91	79	95	16	100	79
COL15A1	24	23	23	22	21	21	21	22	21	19	21	24	20	23	21	22	16	24	19
COL16A1	5	3	4	4	5	4	3	3	5	5	2	5	5	7	6	5	16	7	2
COL17A1	24	3	9	14	27	13	13	18	16	18	12	16	26	16	27	18	16	27	3
COL18A1	19	22	21	24	23	22	25	29	20	22	22	24	24	22	23	23	16	29	19
COL19A1	7	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	5	6	NA	4	7	1
COL1A1	32	30	39	36	38	41	35	36	34	34	34	37	39	38	33	40	16	41	30
COL1A2	23	21	27	26	31	29	22	30	26	26	20	28	28	23	29	26	16	31	20
COL21A1	5	5	3	5	6	8	5	7	6	8	5	4	2	4	7	5	16	8	2
COL22A1	1	NA	4	NA	1	1	8	2	1	15	1	4	1	NA	5	2	13	15	1
COL28A1	1	NA	0	NA	1	1	1	NA	1	0	0	NA	0	0	0	1	6	1	0
COL2A1	11	1	1	3	2	3	3	1	1	5	4	1	2	4	1	1	16	11	1
COL3A1	21	23	25	25	27	27	25	28	24	26	23	22	28	26	25	24	16	28	21
COL4A1	7	10	9	10	10	10	10	10	10	11	11	11	8	9	11	11	16	11	7
COL4A2	26	27	27	26	27	25	28	26	28	28	26	26	28	25	28	27	16	28	25
COL4A3	2	1	1	4	3	2	4	2	3	2	2	3	3	2	2	3	16	4	1
COL4A3BP	33	32	32	31	32	26	26	31	31	32	33	32	33	30	29	30	16	33	26
COL4A4	3	2	2	2	3	2	4	6	3	1	3	1	1	2	3	3	16	6	1
COL4A5	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	11	1	0
COL4A6	3	NA	NA	NA	2	NA	3	NA	2	3	1	NA	1	5	1	3	10	5	1
COL5A1	28	30	33	28	27	31	29	30	31	29	27	29	24	24	25	24	16	33	24
COL5A2	14	16	20	17	17	22	16	21	18	19	17	19	21	16	16	20	16	22	14
COL5A3	8	7	6	7	7	7	7	13	8	8	6	10	7	6	8	11	16	13	6
COL6A1	57	54	63	68	59	64	64	67	70	63	62	71	64	67	60	69	16	71	54
COL6A2	54	50	52	54	57	55	51	61	58	53	54	58	62	63	52	61	16	63	50
COL6A3	221	200	215	234	223	227	217	240	234	232	222	231	228	241	220	249	16	249	200
COL6A5	29	13	4	40	39	37	22	37	43	20	21	20	22	28	14	31	16	43	4
COL6A6	77	72	53	83	78	66	71	86	84	67	64	64	63	64	65	78	16	86	53
COL7A1	52	46	44	41	45	40	38	57	32	55	57	53	69	70	46	73	16	73	32
COL8A1	8	10	11	10	14	10	11	14	14	10	13	11	13	11	13	15	16	15	8
COL8A2	1	1	2	1	2	3	1	3	1	1	1	1	1	2	2	1	16	3	1
COL9A2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
COL9A3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
COLEC10	3	2	3	1	2	2	2	3	2	3	2	3	3	2	1	3	16	3	1
COLEC11	8	4	1	1	2	2	1	NA	6	2	1	3	1	2	1	2	15	8	1
COLEC12	17	17	14	17	17	16	17	21	18	14	17	16	16	14	15	16	16	21	14
COLGALT1	34	36	33	37	37	35	36	37	32	34	37	33	33	36	34	41	16	41	32
COLGALT2	11	2	4	3	8	9	2	5	1	1	1	2	3	2	2	1	16	11	1
COMMD1	6	6	7	7	7	6	6	6	7	7	7	6	7	7	7	6	16	7	6
COMMD10	9	9	7	9	8	7	8	9	9	10	7	9	8	8	9	11	16	11	7
COMMD2	9	9	9	11	10	9	9	11	8	10	9	7	8	10	10	9	16	11	7
COMMD3	1	1	2	2	0	1	1	1	1	1	2	1	0	0	0	2	12	2	0
COMMD4	9	10	9	9	10	9	9	9	9	9	10	11	8	9	9	9	16	11	8
COMMD5	10	10	9	11	9	8	9	9	10	10	8	9	8	11	8	10	16	11	8
COMMD6	2	1	3	2	1	1	2	1	1	2	1	2	1	1	2	4	16	4	1
COMMD7	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	15	2	0
COMMD8	10	9	9	10	8	9	9	8	7	8	9	7	9	8	9	8	16	10	7
COMMD9	12	14	12	12	11	12	12	14	13	13	14	13	11	14	12	14	16	14	11
COMP	21	29	27	18	25	30	28	31	29	32	23	25	24	26	18	20	16	32	18
COMT	20	19	20	22	19	20	20	21	20	21	21	20	20	20	20	22	16	22	19
COMTD1	10	12	9	12	11	9	8	8	9	9	8	9	10	8	10	10	16	12	8
COP1	8	8	6	9	6	8	4	6	6	11	7	8	8	8	7	8	16	11	4
COPA	78	83	89	97	79	76	81	78	80	80	83	82	83	83	84	82	16	97	76
COPB1	72	76	85	82	74	71	76	75	76	76	76	74	73	74	76	79	16	85	71
COPB2	76	80	87	84	80	77	77	78	79	83	79	79	82	82	78	79	16	87	76
COPE	34	34	37	39	34	33	34	34	34	37	35	36	37	37	38	36	16	39	33
COPG1	67	67	70	75	70	67	68	69	72	70	70	69	68	71	71	69	16	75	67
COPG2	44	40	45	45	42	38	42	38	42	42	40	39	42	44	41	42	16	45	38
COPRS	3	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	1
COPS2	29	27	35	37	28	29	29	30	30	29	29	27	32	32	28	31	16	37	27
COPS3	30	30	30	32	26	31	29	32	34	37	30	30	30	32	32	36	16	37	26
COPS4	29	27	25	26	27	27	28	30	29	30	26	27	29	27	29	31	16	31	25
COPS5	22	24	24	23	22	24	23	24	21	28	25	23	24	24	22	22	16	28	21
COPS6	15	16	14	16	13	13	15	14	15	15	15	16	15	17	17	16	16	17	13
COPS7A	13	13	10	11	12	11	14	12	12	12	10	10	12	13	10	12	16	14	10
COPS7B	12	11	9	14	12	12	11	12	12	11	12	11	11	13	12	11	16	14	9
COPS8	10	8	9	11	9	10	12	10	9	9	11	12	8	9	10	9	16	12	8
COPS9	2	1	2	1	2	1	NA	1	NA	NA	NA	1	1	1	1	NA	11	2	1
COPZ1	9	10	10	12	9	8	8	8	10	12	11	8	10	10	10	9	16	12	8
COPZ2	11	9	11	9	11	9	8	10	10	9	11	11	10	9	11	10	16	11	8
COQ10A	NA	NA	NA	NA	1	1	1	NA	NA	1	NA	2	1	1	NA	1	8	2	1
COQ10B	4	7	7	5	5	4	6	3	7	4	5	3	6	5	4	4	16	7	3
COQ2	2	2	NA	1	NA	1	NA	NA	1	1	3	1	1	2	1	NA	11	3	1
COQ3	7	8	6	7	5	6	5	7	6	6	8	7	7	6	6	7	16	8	5
COQ4	3	2	3	3	2	2	1	2	1	1	2	2	2	2	1	4	16	4	1
COQ5	20	14	18	13	14	13	15	12	18	16	16	15	15	15	14	15	16	20	12
COQ6	8	8	12	11	11	7	9	13	10	11	11	10	9	8	13	11	16	13	7
COQ7	9	7	10	9	8	10	7	9	10	8	10	8	8	10	9	8	16	10	7
COQ8A	15	15	13	14	15	16	13	13	16	14	15	12	15	12	12	16	16	16	12
COQ8B	15	16	19	20	17	20	17	14	16	21	15	16	19	13	16	15	16	21	13
COQ9	9	12	12	14	13	12	12	10	12	12	12	13	13	14	15	12	16	15	9
CORIN	1	1	1	2	2	1	1	2	1	1	NA	2	1	NA	NA	NA	12	2	1
CORO1A	30	33	35	33	30	33	32	33	32	35	32	36	32	35	35	30	16	36	30
CORO1B	21	22	24	27	20	26	23	24	22	22	24	24	24	22	23	24	16	27	20
CORO1C	27	26	29	34	27	27	25	26	25	26	27	26	23	26	24	26	16	34	23
CORO2A	13	17	19	15	21	17	16	15	16	15	15	16	17	15	14	18	16	21	13
CORO2B	5	8	10	9	8	10	11	10	12	9	10	9	11	9	12	9	16	12	5
CORO6	0	1	0	1	1	1	1	0	1	0	0	2	0	0	1	1	9	2	0
CORO7	2	1	1	1	1	1	1	2	1	1	0	1	2	1	0	0	13	2	0
COTL1	12	11	16	17	12	12	12	12	12	13	12	12	12	12	12	14	16	17	11
COX10	NA	1	NA	1	NA	1	NA	1	NA	2	NA	NA	1	1	1	2	9	2	1
COX11	3	2	4	4	4	4	5	4	6	4	4	6	6	6	6	6	16	6	2
COX14	1	1	NA	1	1	1	1	1	NA	NA	NA	NA	1	NA	1	NA	9	1	1
COX15	5	7	7	6	6	6	7	6	5	5	7	7	8	7	7	5	16	8	5
COX17	3	3	4	3	2	3	3	3	3	2	2	3	3	3	3	3	16	4	2
COX18	4	2	2	5	3	2	4	4	2	2	2	5	2	2	5	5	16	5	2
COX19	3	1	1	2	2	2	1	1	NA	NA	1	1	1	1	2	3	14	3	1
COX20	4	5	5	4	4	4	4	4	4	4	4	5	5	5	5	5	16	5	4
COX4I1	16	15	16	16	17	17	16	15	16	15	15	16	16	16	17	15	16	17	15
COX4I2	1	1	1	2	NA	NA	1	2	NA	1	1	1	2	2	NA	2	12	2	1
COX5A	10	11	14	12	10	10	9	10	10	11	9	8	10	9	9	10	16	14	8
COX5B	8	6	9	9	6	7	7	5	5	6	8	8	5	7	7	5	16	9	5
COX6A1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	16	2	1
COX6B1	5	4	4	4	4	4	4	4	4	4	3	5	4	4	4	4	16	5	3
COX6C	7	6	7	8	6	6	5	6	6	6	6	6	6	6	6	7	16	8	5
COX7A1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	15	1	1
COX7A2	2	2	4	4	2	2	3	2	2	2	2	2	2	2	3	2	16	4	2
COX7A2L	7	4	4	5	5	5	5	5	3	5	5	5	6	4	4	7	16	7	3
COX7B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	16	2	2
COX7C	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	16	2	1
